Observation ID,Name,Data Type,Latitude,Longitude,Color,Material,Open/Closed,Number of People,Price Range (CHF),Town,Link to Picture
G3_L54,Raw Unique Iconic,Retail & Clothing,"46° 31' 17.532"" N","6° 38' 4.215"" E",N/A,N/A,N/A,N/A,30-150,Lausanne,https://drive.google.com/file/d/1QgS97qsjpajdJ78Z-h7xtB-zk7Bbi-O1/view?usp=sharing
G3_L55,Viceversa,Retail & Clothing,"46° 31' 18.623"" N","6° 38' 2.462"" E",N/A,N/A,N/A,N/A,100-500,Lausanne,https://drive.google.com/file/d/1QgS97qsjpajdJ78Z-h7xtB-zk7Bbi-O1/view?usp=sharing
G3_L56,Creperie La Chandeleur,Restaurant,"46° 31' 17.992"" N","6° 38' 5.339"" E",N/A,N/A,N/A,N/A,May-50,Lausanne,https://drive.google.com/file/d/1RxfWZhhHp_sHg20N3MD7hYz5LugiEWWg/view?usp=sharing
G3_L57,APEF (association pour l’entraide familiale),Business Services,"46° 31' 18.114"" N","6° 38' 4.276"" E",N/A,N/A,N/A,N/A,N/A,Lausanne,https://drive.google.com/file/d/18ABAXKbVZ_bM_-zcA8RF9PNF_QBoZz49/view?usp=sharing
G3_L58,Marelle,Retail & Clothing,"46° 31' 18.557"" N","6° 38' 3.517"" E",N/A,N/A,N/A,N/A,10-500,Lausanne,https://drive.google.com/file/d/1O0BDHrAXSf05yfWwKC3wRaSztWn7Gmfr/view?usp=sharing
G3_L59,Laboratori (60),Retail & Clothing,"46° 31' 17.897"" N","6° 38' 2.314"" E",N/A,N/A,N/A,N/A,20-200,Lausanne,https://drive.google.com/file/d/1F5p9myeqlMUzrnrcveauvuc74mhjpgki/view?usp=sharing
G3_L60,Atelier Des Gourmands,Restaurant,"46° 31' 17.927"" N","6° 38' 3.147"" E",N/A,N/A,N/A,N/A,5-100,Lausanne,https://drive.google.com/file/d/1-LXwi3ET0elqD6YFba38SoUq1Nuagdeb/view?usp=sharing
G3_L61,Durig Chocolatier,Restaurant,"46° 31' 18.696"" N","6° 38' 2.782"" E",N/A,N/A,N/A,N/A,2-200,Lausanne,https://drive.google.com/file/d/1tFdC0vl9HIYGPgknUVaVWMTEa-WVTDCQ/view?usp=sharing
G3_L62,Globus,Retail & Clothing,"46° 31' 18.227"" N","6° 38' 2.405"" E",N/A,N/A,N/A,N/A,10-200,Lausanne,https://drive.google.com/file/d/1olTiIXa5oULOU114n3_PzjDKdJ8olQFW/view?usp=sharing
G3_L63,Walpurgis,Retail & Clothing,"46° 31' 18.704"" N","6° 38' 2.318"" E",N/A,N/A,N/A,N/A,20-200,Lausanne,https://drive.google.com/file/d/1olTiIXa5oULOU114n3_PzjDKdJ8olQFW/view?usp=sharing
G3_L64,Collection 66,Retail & Clothing,"46° 31' 18.872"" N","6° 38' 2.253"" E",N/A,N/A,N/A,N/A,20-200,Lausanne,https://drive.google.com/file/d/14qHoia3XI-oar86tOaOPADyMu1VSdJUW/view?usp=sharing
G3_L65,D’Luxe,Retail & Clothing,"46° 31' 18.890"" N","6° 38' 2.222"" E",N/A,N/A,N/A,N/A,20-200,Lausanne,https://docs.google.com/spreadsheets/d/1b9DfB862_zUhfKlTt7ZDIZJj81s4pbzpJ3Dw35hL0rA/edit?usp=sharing
G3_L66,Jérôme Coiffure,Personal Care and Health,"46° 31' 18.895"" N","6° 38' 1.569"" E",N/A,N/A,N/A,N/A,10-100,Lausanne,https://drive.google.com/file/d/1vGzNu6SyG0o1Vi3NEDh47KvwRK-aW6de/view?usp=sharing
